"Drug Name","Dosage Form","USP Apparatus","Speed (RPMs)","Medium","Volume (mL)","Recommended Sampling Times (minutes)","Date Updated"
"Indapamide","Tablet","","","Refer to USP","","","04/15/2008"
"Indinavir Sulfate","Capsule","II (Paddle)","50","0.1 M Citrate Buffer, pH 3.8","900","10, 15, 20 and 30","02/04/2004"
"Indomethacin","Suspension","","","Refer to USP","","","05/31/2024"
"Indomethacin","Rectal Suppository","","","Refer to USP","","","08/26/2021"
"Indomethacin","Capsule (Extended Release)","","","Refer to USP","","","07/25/2007"
"Indomethacin (40 mg and 20 mg)","Capsule","I (Basket)","100","10 mM citric acid buffer, pH 5.75","750","5, 10, 15, 20 and 30","05/28/2015"
"Indomethacin (50 and 25 mg)","Capsule","","","Refer to USP","","","05/28/2015"
"Infigratinib Phosphate","Capsule","I (Basket)","100","0.01 N HCl","900","15, 30, 45 and 60","05/18/2023"
"Iptacopan Hydrochloride","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","06/23/2025"
"Irbesartan","Tablet","","","Refer to USP","","","08/11/2008"
"Isavuconazonium Sulfate","Capsule ","II (Paddle) with sinker","75","Diluted McIlvaine Buffer [12.5 mM disodium hydrogen phosphate solution +6.25 mM citric acid solution ] + 0.5 % Sodium Lauryl sulfate (SLS)","900","10, 20, 30, 45, 60, 75 and 90","03/17/2016"
"Isocarboxazid","Tablet","II (Paddle)","50","0.1 N HCl","900","10, 20, 30, 45 and 60","02/04/2004"
"Isoniazid","Tablet","","","Refer to USP","","","04/15/2008"
"Isosorbide Dinitrate","Capsule (Extended Release)","","","Refer to USP","","","06/25/2015"
"Isosorbide Dinitrate","Tablet (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Isosorbide Dinitrate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Isosorbide Dinitrate/Hydralazine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","08/19/2021"
"Isosorbide Mononitrate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Isosorbide Mononitrate","Tablet (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Isotretinoin","Capsule","","","Refer to USP","","","04/22/2021"
"Isradipine","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Isradipine","Tablet (Extended Release)","","","Develop a dissolution method","","","09/15/2023"
"Istradefylline","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Itraconazole","Tablet ","II (Paddle)","75","0.1 N HCl","900","5, 15, 30, 45, 60, 75 and 90","08/15/2013"
"Itraconazole","Capsule","II (Paddle)","100","SGF without Enzyme","900","10, 20, 30, 45, 60 and 90","02/04/2004"
"Ivabradine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Ivacaftor","Tablet","II (Paddle) with sinker","65","50 mM Sodium Phosphate Buffer with 0.7% Sodium Dodecyl Sulfate (SDS), pH 6.8","900","5, 10, 15, 20 and 30","06/25/2015"
"Ivacaftor/lumacaftor","Tablet","Lumacaftor: II (Paddle); Ivacaftor: II (Paddle)","Lumacaftor:65; Ivacaftor: 65","Lumacaftor: 0.5% (w/v) CTAB in 50 mM Sodium Acetate Trihydrate buffer (pH 4.5); Ivacaftor: 0.4% (w/v) SLS in 50 mM Sodium Phosphate buffer (pH 6.8)","Lumacaftor: 900; Ivacaftor: 900","5, 10, 15, 20 and 30","03/17/2016"
"Ivacaftor/Tezacaftor [FDC: IVA+ TEZ]; Ivacaftor [IVA]","Tablet/Tablet (Copackage)","II (Paddle) with option to use a sinker","FDC: IVA: 65/TEZ:75; IVA: 65","FDC: IVA: 50 mM Sodium Phosphate Buffer with 0.4% Sodium Dodecyl Sulfate (SDS), pH 6.8/TEZ: 0.2 SDS% in 0.1 N HCl; IVA: 50 mM Sodium Phosphate Buffer with 0.7% SDS, pH 6.8;","FDC: IVA: 900/ TEZ: 900; IVA: 900","5, 10, 15, 20, 30 and 45","03/07/2019"
"Ivermectin","Tablet","II (Paddle)","50","0.5% SDS in 0.01 M Monobasic Sodium Phosphate, pH 7.0","900","10, 20, 30, 45 and 60","02/04/2004"
"Ivosidenib","Tablet","II (Paddle)","50","50 mM Phosphate Buffer pH, 6.8 with 0.6% sodium dodecyl sulfate (SDS),","900","10, 15, 20, 30 and 45","08/27/2020"
"Ixazomib Citrate","Capsule  ","I (Basket)  ","100","0.1 N HCl","500","5, 10, 15, 20 and 30","10/20/2016"
"Ketoconazole","Tablet","I (Basket)","100","Simulated gastric fluid w/o pepsin","800","15, 30, 45, 60 and 90","01/03/2007"
"Ketoprofen","Tablet","II (Paddle)","50","SIF Buffer without enzyme, pH 7.4","900","10, 20, 30, 45 and 60","02/05/2004"
"Ketoprofen","Capsule","II (Paddle with sinker)","50","0.05M Potassium Phosphate Buffer, pH 7.4","1000","10, 20, and 30","02/09/2023"
"Ketorolac Tromethamine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Labetalol HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lacosamide","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lacosamide","Capsule (Extended Release)","I (Basket)","100","Phosphate Buffer, pH 6.8","900","0.5, 1, 2, 3, 4, 5, 6, 8, 10 and 12 hours","05/31/2024"
"Lamivudine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lamivudine 150 mg/Zidovudine 300mg Tablets and Abacavir Sulfate 300 mg Tablets-co-packaged","Tablet","II (Paddle)","75","0.1 N HCl","900","5, 10, 15, 20, 30 and 40","01/03/2007"
"Lamivudine/Raltegravir Ka","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Lamivudine/Stavudine/Nevirapine","Tablet","II (Paddle)","75","0.1 N HCl","900","10, 20, 30, 45 and 60","01/03/2007"
"Lamivudine/Zidovudine","Tablet","","","Refer to USP","","","11/02/2017"
"Lamivudine/Zidovudine + Efavirenz","Tablet (Copackage)","II (Paddle)","Lamivudine and Zidovudine: 75","Lamivudine and Zidovudine: 0.1 N HCl  Efavirenz: Develop a dissolution method","Lamivudine and Zidovudine: 1000","10, 20, 30, and 45 ","09/15/2023"
"Lamivudine/Zidovudine + Nevirapine","Tablet (Copackage)","II (Paddle)","50","Lamivudine and Zidovudine: Develop a dissolution method  Nevirapine: 0.06 M HCl (pH 1.2)","900","10, 15, 30, 45 and 60","09/15/2023"
"Lamivudine/Zidovudine/ Nevirapine","Tablet","II (Paddle)","50","0.01 N HCl","900","10, 15, 30, 45 and 60","01/03/2007"
"Lamotrigine","Tablet (Chewable dispersible)","II (Paddle)","50","0.1 N HCl","900","5, 10, 15, 20 and 30","01/14/2008"
"Lamotrigine","Tablet (Regular)","II (Paddle)","50","0.1 N HCl","900","5, 10, 15, 20 and 30","03/04/2006"
"Lamotrigine","Tablet (Extended Release) ","","","Refer to USP","","","02/18/2016"
"Lamotrigine","Tablet, For Suspension","","","Refer to USP","","","02/09/2023"
"Lansoprazole","Capsule (Delayed Release)","","","Refer to USP","","","11/04/2008"
"Lansoprazole","Tablet (Delayed Release, Orally Disintegrating)","II (Paddle)","75","Acid Stage: 0.1 N HCl; Buffer Stage: Phosphate Buffer, pH 6.8 with 5 mM Sodium Dodecyl Sulfate","500 (Acid), 900 (Buffer)","60 (Acid), 10, 20, 30 and 45 (Buffer)","11/04/2008"
"Lanthanum Carbonate","Chewable Tablet","Reciprocating Cylinder (Apparatus 3 modified)","10 dpm (dip rate per minute)","0.25 N HCl","900  (modified from the standard apparatus 3 vessel to achieve sink condition)","10, 20, 30 and 45","01/03/2007"
"Lapatinib Ditosylate","Tablet","II (Paddle)","55","2% Polysorbate 80 in 0.1 N HCl","900","10, 15, 30 and 45","10/30/2009"
"Lasmiditan Succinate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","05/12/2022"
"Ledipasvir/Sofosbuvir","Pellets","II (Paddle)","75","1.0% polysorbate 80 in 25 mM Potassium Phosphate Buffer, with  0.005 mg/mL Butylated Hydroxytoluene (BHT), pH 5.5","900","5, 10, 15, 20, 30, 45 and 60","08/19/2021"
"Ledipasvir/Sofosbuvir","Tablet","II (Paddle)","75","1.5% Polysorbate 80 in 10 mM Potassium Phosphate Buffer with 0.0075 mg/mL Butylated Hydroxytoluene (BHT), pH 6.0","900","5, 10, 15, 20, 30, 45 and 60","08/27/2015"
"Lefamulin Acetate","Tablet","II (Paddle)","50","0.1 N HCl","1000","10, 20, 30, 45, 60, 75, and 90","04/22/2021"
"Leflunomide","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Leflunomide (100 mg)","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Lemborexant","Tablet","II (Paddle)","50","0.1 N HCl","900","5, 10, 15, 20 and 30","05/12/2022"
"Lenacapavir Sodium","Tablet","II (Paddle) with sinkers","75","30 mM potassium phosphate, pH 6.0 with 2.0% Cremophor EL","900","10, 15, 20, 25, 30, 45 and 60","02/05/2024"
"Lenalidomide","Capsule","II (Paddle)","50","0.01 N HCl","900","10, 15, 20, 30 and 45","04/15/2008"
"Leniolisib Phosphate","Tablet","I (Basket)","100","Acetate Buffer, pH 4.0","900","10, 20, 30, 40, 50, 60, 70 and 80","08/05/2024"
"Lenvatinib Mesylate","Capsule ","II (Paddle) ","50","0.1 N HCl","900","5, 10, 15, 20 and 30","03/17/2016"
"Lesinurad","Tablet ","II (Paddle)","75","pH 4.5 sodium acetate buffer with 1% SLS","900","10, 20, 30 and 45","03/17/2016"
"Letermovir","Tablet","II (Paddle)","75","25 mM Na Acetate Buffer, pH 4.5  with 0.6% Tween-80","900","10, 15, 20, 30, 45 and 60","02/08/2018"
"Letrozole","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Letrozole (LET); Ribociclib Succinate (RIB)","Tablet/Tablet (Copackage)","II (Paddle)","RIB: 50; LET: 75","RIB: 0.01 N HCl; LET: 0.1 N HCl","RIB: 900; LET: 900","5, 10, 15, 20, 30 and 45","03/07/2019"
"Leucovorin Calcium","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Leuprolide Acetate","Implant","","","Develop a method to characterize in vitro releas","","","05/12/2022"
"Leuprolide Acetate","Injectable (Extended Release)","","","Develop a dissolution method using USP IV (Flow-Through Cell), and, if applicable, Apparatus II (Paddle) or any other appropriate method, for comparative evaluation by the Agency","","","01/15/2010"
"Leuprolide Mesylate","Emulsion","","","Develop a method to characterize in vitro release","","","10/06/2023"
"Levetiracetam","Tablet, for Suspension","II (Paddle)","50","Phosphate Buffer, pH 6.8 (degas)","900","2.5, 5, 10, 15 and 20","03/02/2017"
"Levetiracetam","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Levetiracetam (1 g and 1.5 g)","Tablet (Extended Release)","III (Reciprocating Cylinder)","15 dips/min","Sodium acetate buffer, pH 4.5","900","1, 2, 4, 6, 8, 10 and 12 hours","11/01/2024"
"Levetiracetam (500 mg and 750 mg)","Tablet (Extended Release)","I (Basket)","100","0.05 M Phosphate Buffer, pH 6.0","900","1, 2, 4, 6, 8 and 12 hours","04/02/2009"
"Levocarnitine","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Levocetirizine Dihydrochloride","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Levofloxacin","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Levoketoconazole","Tablet","II (Paddle)","50","0.05 N HCl","900","10, 20, 30, 45 and 60","06/23/2025"
"Levomilnacipran  HCl","Capsule (Extended Release)","","","Develop a dissolution method","","","09/15/2023"
"Levonorgestrel","Intrauterine Device","","","Develop a method to characterize in vitro release  ","","","02/14/2014"
"Levonorgestrel","Tablet","II (Paddle)","75","0.1 N HCl with 0.1% SLS","1000","10, 20, 30, 45, 60 and 90","02/05/2004"
"Levorphanol Tartrate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","04/22/2021"
"Levothyroxine Sodium","Tablet","","","Refer to USP","","","07/25/2007"
"Lidocaine","Topical Patch","Paddle over Disk (Apparatus 5)","50","Acetic acid/sodium acetate buffer, pH 4.0 at 32ºC","500","10, 20, 30, 60, 120 and 180","01/03/2007"
"Linaclotide","Capsule","I (Basket)","50","50 mM Phosphate Buffer, pH 4.5","500","5, 10, 15, 20 and  30","12/24/2015"
"Linagliptin","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Linagliptin/Metformin HCl","Tablet","II (Paddle) ","50","0.1 N HCl ","900 ","5, 10, 15, 20, 30 and 45","05/15/2014"
"Linagliptin/Metformin HCl","Tablet (Extended Release) ","I (Basket)","100","Simulated Gastric Fluid (SGF) without enzyme (pH 1.2) (degassed)","900","Linagliptin 10, 15, 20, 30 and 45 minutes; Metformin: 1, 2, 4, 6, 8 and 12 hours","07/28/2016"
"Linezolid","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Linezolid","Suspension","II (Paddle)","50","0.05 M Phosphate Buffer, pH 6.8","900","10, 20, 30 and 45","01/14/2008"
"Liothyronine Sodium","Tablet","","","Refer to USP","","","06/18/2007"
"Lisdexamfetamine Dimesylate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lisinopril","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lithium Carbonate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lithium Carbonate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Lithium Carbonate","Tablet (Extended Release)","","","Refer to USP","","","01/14/2008"
"Lomefloxacin HCl","Tablet","II (Paddle)","50","0.01 N HCl","900","10, 20, 30 and 45","02/05/2004"
"Lomitapide Mesylate ","Capsule","II (Paddle)","50","0.001 N HCl with 0.1% Polysorbate 80","500 mL (5 mg strength); 1000 mL (10 and 20 mg strength)","5, 10, 20, 30 and 45","06/25/2015"
"Lomustine","Capsule","","","Develop a dissolution method ","","","12/24/2015"
"Lonafarnib","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Loperamide HCl","Oral Suspension","II (Paddle)","25","0.01 N HCl","900","10, 20, 30, 45, 60, 75 and 90","06/25/2015"
"Loperamide HCl","Tablet (Chewable)","II (Paddle)","50","0.2 M Acetate Buffer, pH 4.7","500","5, 10, 15, 20 and 30","06/25/2015"
"Loperamide HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Loperamide HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Loperamide HCl/Simethicone","Tablet (Chewable)","II (Paddle)","50","0.2 M Acetate Buffer, pH 4.7","500","5, 10, 15, 20 and 30","02/09/2023"
"Loperamide HCl/Simethicone","Tablet","II (Paddle)","75","0.1N HCl","500","10, 15, 20, 30 and 45","08/27/2015"
"Lopinavir/Ritonavir","Tablet (Combination)","","","Refer to USP","","","01/15/2015"
"Lopinavir/Ritonavir","Capsule (Soft-Gelatin)","II (Paddle)","50","Tier 1: 0.05 M Polyoxyethylene 10 Lauryl Ether with 10 mM Sodium Phosphate monobasic (pH 6.8); Tier II: same as above with NMT 1750 USP units/L of Pancreatin","900","10, 15, 30 and 45","06/18/2007"
"Loratadine","Tablet (Orally Disintegrating)","I (Basket)","50","SGF without enzyme","900","2, 4, 6 and 10","07/14/2008"
"Loratadine","Tablet (Chewable)","II (paddle)","50","0.1 N HCl","500","15, 30, 45 and 60","07/14/2008"
"Loratadine","Capsule (Soft-Gelatin) ","II (Paddle) with sinker","75","Tier I: 0.1N HCl with 0.1% Tween 20. Tier II: 0.1N HCl with 0.1% Tween 20 with addition of pepsin (as per USP).","900","10, 20, 30, 45 and 60 ","02/28/2013"
"Loratadine/Pseudoephedrine Sulfate (10 mg /240 mg)","Tablet (Extended Release) ","I (Basket)","75","900 mL 0.1 N HCl for one hour, then replace the medium with 900 mL 0.05 M phosphate buffer at pH6.8 containing 0.01% sodium lauryl sulfate.","900","Loratadine:10, 15, 20, 30 and 45; Pseudoephedrine: 1, 2, 4, 8, 12, 16, 18 and 24 hours","08/05/2010"
"Loratadine/Pseudoephedrine Sulfate (5 mg /120 mg)","Tablet (Extended Release) ","II (Paddle)","50","900 mL 0.1 N HCl for one hour, then replace with 900 mL 0.05 M phosphate buffer at pH 8.2 containing 0.01% sodium lauryl sulfate","900","Loratadine:15, 20, 30, 45, 60 and 90; Pseudoephedrine: 1, 2, 4, 8, 12 and 16 hours","08/05/2010"
"Lorazepam","Capsule (Extended Release)","I (Basket)","100","Acid Stage: 0.1N HCl; Buffer stage: Sodium Phosphate Buffer, pH 7.4","Acid stage: 700; Buffer stage: 1000","Acid stage: 0.5, 1 and 2 hours; Buffer stage: 0.5, 1, 2, 4, 6, 8, 12, 16, 20, and 24 hours","05/12/2022"
"Lorazepam","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Lorcaserin HCl","Tablet (Extended Release)  ","I (Basket)  ","100","0.1 N HCl (deaerated)","900","1, 2, 4, 5, 8 12, 16 and 20 hours","10/20/2016"
"Lorcaserin HCl","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Losartan Potassium","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Loteprednol Etabonate","Ophthalmic Suspension","","","Develop a method to characterize in vitro release","","","06/30/2016"
"Loteprednol Etabonate/Tobramycin","Ophthalmic Suspension  ","","","Develop a method to characterize in vitro release  ","","","01/31/2013"
"Lovastatin","Tablet (Extended Release)","II (Paddle)","50","0.5% sodium lauryl sulfate (SLS) / sodium phosphate buffer (0.01M), pH 6.5","900","1, 2, 4, 6, 8, 12, 16 and 20 hours","02/07/2019"
"Lovastatin/Niacin","Tablet (Extended Release)","I (Basket)","100","For Niacin: Develop a dissolution method; for Lovastatin: 0.05 M phosphate buffer, pH 7.0 with 0.5% sodium dodecyl sulfate","900","For Lovastatin: 15, 30, 45 and 60 min","09/15/2023"
"Lubiprostone","Capsule (Soft-Gelatin)","II (Paddle) ","50","0.1 N HCl/1% HCO-40 (Polyoxyl 40 hydrogenated castor oil)","900","15, 30, 45, 60, 90 and 120","08/19/2010"
"Lurasidone HCl","Tablet","II (Paddle)","50","McIlvaine buffer, pH 3.8 [(0.025 M Citric acid Solution + 0.05M Na2HPO4 solution (3:2)] Measure the pH and adjust to 3.8, if necessary. Degas before use.","900","5, 10, 15, 20 and 30 ","01/31/2013"
"Macitentan","Tablet","II (Paddle)","75","Phosphate Buffer, pH 6.8 with 0.1% of Cetrimonium bromide (CTAB)","900","10, 15, 20, 30 and 45","05/28/2015"
"Macitentan (MAC); Tadalafil (TAD)","Tablet","II (Paddle)","60","MAC: 0.05 M sodium phosphate buffer, pH 5.5 with 0.30% (w/v) CTAB; (TAD):0.05 M sodium phosphate buffer, pH 6.8 with 3.0% (w/v) polysorbate 20","900","5, 10, 15, 20, 30, 45 and 60","08/05/2024"
"Magnesium Hydroxide/Omeprazole/Sodium Bicarbonate","Tablet (Chewable)","II (Paddle)","150","0.029 M sodium phosphate buffer w/ 0.5% SDS, pH 7.4","900","15, 30, 45, and 60","02/19/2008"
"Magnesium Hydroxide/Omeprazole/Sodium Bicarbonate","Tablet (Chewable)","II (Paddle)","150","pH 7.4 Phosphate Buffer with 0.5% SDS","900","15, 30, 45, 60 and 90","10/06/2008"
"Magnesium Sulfate/Potassium Chloride/Sodium Sulfate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Maraviroc","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Maribavir","Tablet","II (Paddle)","50","0.1N HCl (deaerated)","900","10, 15, 20, 30 and 45","02/09/2023"
"Maribavir","Tablet","II (Paddle)","50","0.1 N HCl","900","5, 10, 15, 20 and 45","07/07/2023"
"Mavacamten","Capsule","II (Paddle)","50","Tier 1: 0.05%(w/v) SDS in 50 mM Sodium Phosphate, pH 6.8; Tier 2: 50 mM sodium phosphate, pH 6.8, containing NMT 2,000 unit/L of pancreatin (850 mL). After 10 minutes, add 50 mL of 50 mM sodium phosphate, pH 6.8, containing 0.9% (w/v) SDS","900","10, 15, 30, 45 and 60","05/18/2023"
"Mebendazole","Tablet (Chewable)","II (Paddle)","75","0.1 N HCl containing 1% Sodium Lauryl Sulfate","900","15, 30, 45, 60, 90 and 120","10/06/2008"
"Mebendazole ( 500 mg)","Tablet (Chewable)","II (Paddle)","75","1% Sodium Lauryl Sulfate (SLS) in 0.01 N HCl","900","5, 10, 15, 30, 45 and 60","12/22/2016"
"Mecamylamine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Meclizine HCl","Tablet","I (Basket)","100","0.01 N HCl","900","10, 20, 30, 45 and 60","08/27/2009"
"Meclizine HCl","Tablet (Chewable)","I (Basket)","100","0.01 N HCl ","900","10, 20, 30, 45 and 60","04/08/2010"
"Medroxyprogesterone Acetate","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Medroxyprogesterone Acetate","Injectable Suspension ","","","Develop a dissolution method","","","09/15/2023"
"Medroxyprogesterone Acetate (104mg/0.65ml)","Injectable Suspension ","","","Develop a method to characterize in vitro release","","","02/08/2018"
"Mefenamic Acid","Capsule","","","Refer to USP","","","12/15/2009"
"Mefloquine HCl","Tablet","I (Basket)","100","SGF without enzyme","900","10, 20, 30, 45 and 60","02/06/2004"
"Megestrol Acetate","Oral Suspension","","","Develop a dissolution method","","","01/03/2024"
"Meloxicam","Capsule","I (Basket) ","100","Phosphate Buffer, pH 6.1 with 0.1% Sodium Lauryl Sulfate (SLS)","500 mL (for 5 mg); 1000 mL (for 10 mg)","5, 10, 15, 20 and 30","06/30/2016"
"Meloxicam","Suspension","II (Paddle)","25","Phosphate buffer at pH 7.5","900","5, 10, 15 and 30","01/26/2006"
"Meloxicam","Tablet","II (Paddle)","75","Phosphate Buffer, pH 7.5","900","10, 20, 30, 45 and 60","02/20/2004"
"Meloxicam/Rizatriptan","Tablet","II (Paddle)","Mel: 75; Riz: 50","Mel: 50 mM Potassium Phosphate Buffer, pH 7.2; Riz: 50 mM Potassium Phosphate Buffer, pH 6.8","900","10, 20, 30, 45 and 60","05/19/2025"
"Melphalan","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Memantine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Memantine HCl","Capsule (Extended Release) ","I (Basket)","100","pH 1.2 NaCl/HCl Buffer (degas)","900","1, 2, 3, 4, 6, 8, 10 and 12 hours","03/02/2017"
"Memantine HCl","Tablet (Orally Disintegrating)","I (Basket)","100","0.1 N HCl","900","15, 30, 25 and 60","11/01/2024"
"Menthol/Methyl Salicylate","Topical Patch","VI (Cylinder) ","50","Neutralized phthalate buffered solution (0.2 M potassium biphthalate) with pH of 5.0 at 32 ± 0.5°C","900","10, 20, 30, 60, 120, 150 and 180 ","01/31/2013"
"Meprobamate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Mercaptopurine","Oral Suspension","II (Paddle)","50","0.1N HCl","900","5, 10, 15, 20 and  30","12/24/2015"
"Mercaptopurine","Tablet","II (Paddle)","50","0.1 N HCl","900","20, 30, 45, 60, 90 and 120","02/06/2004"
"Mesalamine","Suppository","II (Paddle) with option to use a sinker","75 (for 500 mg) & 125 (for 1000 mg)","For 500 mg strength: 0.2 M Phosphate buffer, pH 7.5 at 37 deg. C For 1000 mg strength: 0.2 M Phosphate buffer, pH 7.5 at 40 deg. C","900","30, 60, 90, 120 and 150","01/30/2006"
"Mesalamine","Capsule (Delayed Release)","II (Paddle)","Phase 1 & 2: 100 rpm;  Phase 3: 50 rpm","Phase 1: 0.1N HCl (degas); Phase 2: pH 6.0 Buffer (degas); Phase 3: pH 7.2 Buffer","Phase 1: 500; Phase 2: 900; Phase 3: 900","Phase 1: 120; Phase 2: 60; Phase 3: 20, 30, 45, 60, 75, 90 and 120","06/30/2016"
"Mesalamine (1.2 gram)","Tablet (Delayed Release)","II (Paddle)","100","Acid stage (A): 100 mM HCl                                                    Buffer stage (B): Phosphate Buffer, pH 6.4                                     Buffer stage (C): Phosphate Buffer, pH 7.2","Acid stage (A): 750 mL;   Buffer stage (B): 950 mL;  Buffer stage (C): 960 mL","Acid stage (A): 2 hours;                   Buffer stage (B): 1 hour;                   Buffer stage (C): 1, 2, 4, 6 and 8 hours","06/10/2009"
"Mesalamine (250 mg and 500 mg)","Capsule (Extended Release)","","","Refer to USP","","","06/10/2009"
"Mesalamine (375 mg)","Capsule (Extended Release)","I (Basket)","100","Acid Stage: 0.1N HCl                                                                                     Buffer stage: Phosphate Buffer, pH 6.8","Acid stage: 750 mL;         Buffer stage: 1000 mL","Acid stage: 2 hours;                           Buffer stage: 0.5, 1, 2, 4, 7 and 9 hours","06/10/2009"
"Mesalamine (400 mg and 800 mg)","Tablet (Delayed Release)","","","Refer to USP","","","11/05/2010"
"Mesalamine Enema","Rectal Enema","II (Paddle)","50","Phosphate Buffer, pH 7.2","900","5, 10, 15, and 30","06/18/2007"
"Mesna","Tablet","II (Paddle)","50","0.06 N HCl","500","5, 10, 15, 20 and 30","02/09/2004"
"Mestranol/Norethindrone","Tablet","","","Refer to USP ","","","03/25/2010"
"Metaxalone","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Metformin HCl","For Suspension (Extended Release)","II (Paddle)","100","Phosphate Buffer, pH 6.8","1000","0.5, 1, 2, 3, 4,  6, 8, 10 and 12 hours","01/30/2020"
"Metformin HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Metformin HCl","Tablet (Extended Release)","","","Refer to USP","","","12/12/2008"
"Metformin HCl (MET); Sitagliptin (SIT)","Tablet (Extended Release)","II (Paddle) with sinker","75","Phosphate buffer, pH 6.8","900","MET: 1, 2, 3, 4, 6, 8, 10, and 12 hours; SIT: 10, 20, 30, 45 and 60","07/07/2023"
"Metformin HCl/Pioglitazone HCl","Tablet","II (Paddle)","50","pH 2.5 McIlvaine buffer (0.1 M Citric acid adjusted to pH 2.5 with 0.2 M Na2HPO4)","900","10, 20, 30 and 45","01/03/2007"
"Metformin HCl/Saxagliptin","Tablet (Extended Release) ","I (Basket)","100","Phosphate Buffer, pH 6.8 ","1000","Metformin: 1, 2, 3, 4, 6, 8, 10 and 12 hours. Saxagliptin: 5, 10, 15, 20 and 30 minutes","01/26/2012"
"Metformin HCl/Sitagliptin Phosphate","Tablet","II (Paddle)","75","0.025 M NaCl","900","10, 15, 20 and 30","10/06/2008"
"Metformin/Repaglinide","Tablet","II (Paddle)","50","Citric acid/phosphate buffer, pH 5.0","900","5, 10, 15, 20 and 30","10/30/2009"
"Methadone HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Methazolamide","Tablet","II (Paddle)","100","pH 4.5 Acetate Buffer","900","10, 15, 20, 30 and 45","05/28/2015"
"Methenamine Hippurate","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Methimazole","Tablet","","","Refer to USP","","","01/14/2008"
"Methocarbamol","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Methotrexate Sodium","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Methoxsalen","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Methscopolamine Bromide","Tablet","","","Refer to USP","","","02/15/2018"
"Methyldopa","Tablet","II (Paddle)","50","0.1 N HCl","900","10, 15, 30 and 45","01/17/2025"
"Methylergonovine Maleate","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
